Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Duration,Date Declared Over,Active
Institution 87,986 Main St,Hospital,Enteric,COVID-19,None,2024-02-29,26,2024-03-26,Y
Institution 7,209 King St,Long-Term Care Home,Enteric,Norovirus,None,2024-10-03,9,2024-10-12,N
Institution 93,599 King St,Long-Term Care Home,Respiratory,RSV,None,2024-09-26,13,2024-10-09,N
Institution 79,693 Main St,Hospital,Respiratory,COVID-19,None,2024-03-04,14,2024-03-18,N
Institution 23,358 Main St,Hospital,Enteric,Influenza,None,2023-08-30,17,2023-09-16,Y
Institution 26,650 Main St,Retirement Home,Respiratory,COVID-19,Rhinovirus,2023-10-13,29,2023-11-11,N
Institution 32,877 Queen St,Retirement Home,Respiratory,Influenza,Adenovirus,2024-09-30,9,2024-10-09,N
Institution 7,358 Main St,Long-Term Care Home,Enteric,COVID-19,None,2023-09-12,5,2023-09-17,N
Institution 27,41 Main St,Hospital,Respiratory,RSV,None,2023-09-14,24,2023-10-08,N
Institution 42,904 King St,Retirement Home,Respiratory,Norovirus,None,2024-06-03,16,2024-06-19,N
Institution 5,129 Main St,Hospital,Respiratory,Influenza,None,2024-07-27,24,2024-08-20,Y
Institution 70,848 Main St,Hospital,Respiratory,Influenza,None,2023-06-22,17,2023-07-09,N
Institution 16,886 Queen St,Long-Term Care Home,Respiratory,RSV,Rhinovirus,2024-05-20,6,2024-05-26,N
Institution 24,450 King St,Hospital,Respiratory,Influenza,None,2024-09-08,14,2024-09-22,N
Institution 32,232 Bay St,Long-Term Care Home,Enteric,Norovirus,Adenovirus,2024-09-04,9,2024-09-13,N
Institution 21,334 Bay St,Hospital,Enteric,Norovirus,Adenovirus,2023-08-15,7,2023-08-22,N
Institution 55,396 Queen St,Long-Term Care Home,Enteric,RSV,None,2024-05-03,9,2024-05-12,N
Institution 75,730 King St,Long-Term Care Home,Respiratory,RSV,None,2023-04-26,17,2023-05-13,N
Institution 36,840 Bay St,Hospital,Respiratory,Influenza,None,2023-03-06,17,2023-03-23,Y
Institution 83,639 Queen St,Hospital,Respiratory,Norovirus,None,2023-05-17,19,2023-06-05,N
Institution 89,41 Main St,Long-Term Care Home,Respiratory,Influenza,None,2023-01-31,10,2023-02-10,N
Institution 39,264 Bay St,Long-Term Care Home,Enteric,Norovirus,None,2023-01-06,5,2023-01-11,N
Institution 54,697 King St,Hospital,Respiratory,COVID-19,None,2023-12-28,14,2024-01-11,N
Institution 90,201 Bay St,Hospital,Respiratory,Norovirus,None,2024-08-04,27,2024-08-31,N
Institution 9,52 King St,Long-Term Care Home,Respiratory,COVID-19,Rhinovirus,2023-07-06,22,2023-07-28,N
Institution 71,225 King St,Long-Term Care Home,Respiratory,COVID-19,None,2024-04-03,29,2024-05-02,Y
Institution 98,67 King St,Retirement Home,Respiratory,Influenza,Rhinovirus,2024-04-24,15,2024-05-09,N
Institution 48,680 King St,Long-Term Care Home,Respiratory,COVID-19,None,2023-09-11,24,2023-10-05,Y
Institution 77,770 Bay St,Hospital,Enteric,COVID-19,Adenovirus,2024-06-06,22,2024-06-28,N
Institution 83,577 Main St,Retirement Home,Respiratory,Influenza,None,2024-01-31,19,2024-02-19,N
Institution 56,457 Queen St,Long-Term Care Home,Respiratory,RSV,None,2023-03-30,30,2023-04-29,N
Institution 39,903 King St,Long-Term Care Home,Enteric,COVID-19,None,2024-08-25,11,2024-09-05,N
Institution 68,973 Queen St,Hospital,Respiratory,Norovirus,None,2024-02-04,7,2024-02-11,N
Institution 1,541 King St,Retirement Home,Respiratory,RSV,None,2023-09-08,28,2023-10-06,N
Institution 40,20 Main St,Long-Term Care Home,Enteric,Influenza,None,2023-05-26,23,2023-06-18,N
Institution 30,206 Queen St,Long-Term Care Home,Respiratory,Influenza,None,2024-02-22,9,2024-03-02,Y
Institution 94,124 King St,Hospital,Respiratory,Norovirus,Adenovirus,2024-10-19,19,2024-11-07,Y
Institution 89,592 Bay St,Retirement Home,Enteric,Influenza,None,2024-10-30,23,2024-11-22,N
Institution 16,775 Queen St,Hospital,Enteric,COVID-19,None,2023-10-20,26,2023-11-15,N
Institution 88,740 King St,Hospital,Enteric,Norovirus,Rhinovirus,2023-06-18,11,2023-06-29,N
Institution 54,45 Queen St,Long-Term Care Home,Respiratory,Norovirus,None,2024-09-02,20,2024-09-22,Y
Institution 75,332 Queen St,Retirement Home,Enteric,COVID-19,None,2024-05-08,9,2024-05-17,N
Institution 48,281 King St,Long-Term Care Home,Respiratory,RSV,None,2024-09-04,28,2024-10-02,N
Institution 20,91 Bay St,Hospital,Enteric,RSV,None,2024-06-29,20,2024-07-19,N
Institution 67,653 King St,Hospital,Enteric,COVID-19,Rhinovirus,2024-05-03,28,2024-05-31,N
Institution 93,980 Bay St,Long-Term Care Home,Respiratory,Norovirus,None,2023-09-17,23,2023-10-10,N
Institution 36,138 Bay St,Retirement Home,Respiratory,RSV,None,2023-12-16,14,2023-12-30,N
Institution 52,606 King St,Hospital,Enteric,RSV,None,2024-01-08,5,2024-01-13,N
Institution 22,127 Queen St,Retirement Home,Enteric,COVID-19,None,2023-09-14,24,2023-10-08,N
Institution 49,425 Main St,Hospital,Respiratory,COVID-19,None,2023-08-06,8,2023-08-14,Y
Institution 42,780 Bay St,Long-Term Care Home,Respiratory,RSV,None,2024-10-13,24,2024-11-06,N
Institution 59,8 Main St,Hospital,Respiratory,COVID-19,None,2024-04-21,13,2024-05-04,N
Institution 84,839 Main St,Hospital,Respiratory,Norovirus,None,2024-10-01,9,2024-10-10,N
Institution 11,271 Bay St,Hospital,Enteric,Influenza,Adenovirus,2024-06-06,11,2024-06-17,N
Institution 55,595 Queen St,Hospital,Enteric,COVID-19,None,2023-09-12,25,2023-10-07,N
Institution 8,945 Main St,Hospital,Enteric,COVID-19,None,2024-06-10,5,2024-06-15,Y
Institution 46,747 King St,Hospital,Respiratory,Norovirus,Adenovirus,2023-09-07,24,2023-10-01,Y
Institution 85,167 Queen St,Hospital,Enteric,COVID-19,None,2024-02-16,6,2024-02-22,Y
Institution 66,499 Main St,Hospital,Respiratory,COVID-19,None,2023-11-14,15,2023-11-29,N
Institution 77,255 King St,Long-Term Care Home,Respiratory,RSV,None,2024-02-11,5,2024-02-16,N
Institution 46,599 King St,Retirement Home,Enteric,COVID-19,Adenovirus,2024-03-28,17,2024-04-14,N
Institution 70,634 Queen St,Hospital,Respiratory,RSV,None,2024-03-14,14,2024-03-28,Y
Institution 72,931 King St,Long-Term Care Home,Respiratory,RSV,None,2024-08-19,22,2024-09-10,N
Institution 44,902 Bay St,Retirement Home,Enteric,RSV,None,2023-01-20,8,2023-01-28,N
Institution 32,71 King St,Hospital,Respiratory,COVID-19,None,2023-07-29,8,2023-08-06,N
Institution 36,772 Queen St,Retirement Home,Respiratory,RSV,None,2024-02-23,30,2024-03-24,N
Institution 45,970 King St,Long-Term Care Home,Respiratory,COVID-19,None,2024-09-18,6,2024-09-24,N
Institution 14,81 Bay St,Retirement Home,Respiratory,Influenza,Adenovirus,2024-04-14,20,2024-05-04,Y
Institution 16,944 Bay St,Hospital,Respiratory,RSV,None,2023-06-04,20,2023-06-24,N
Institution 87,776 Bay St,Hospital,Respiratory,Norovirus,None,2023-07-26,12,2023-08-07,N
Institution 33,437 Main St,Retirement Home,Respiratory,Norovirus,None,2023-01-05,26,2023-01-31,N
Institution 40,579 Queen St,Hospital,Respiratory,COVID-19,None,2024-06-13,7,2024-06-20,N
Institution 40,876 Main St,Retirement Home,Enteric,RSV,Adenovirus,2024-03-15,24,2024-04-08,N
Institution 10,896 Queen St,Long-Term Care Home,Enteric,RSV,None,2023-06-07,22,2023-06-29,Y
Institution 89,437 Queen St,Long-Term Care Home,Enteric,COVID-19,Adenovirus,2024-03-26,15,2024-04-10,N
Institution 72,750 King St,Long-Term Care Home,Respiratory,Norovirus,None,2023-07-22,21,2023-08-12,N
Institution 82,997 Bay St,Hospital,Respiratory,Influenza,None,2024-05-24,20,2024-06-13,N
Institution 9,270 Queen St,Long-Term Care Home,Enteric,RSV,None,2023-11-29,6,2023-12-05,N
Institution 7,412 Queen St,Retirement Home,Enteric,COVID-19,Rhinovirus,2023-03-24,12,2023-04-05,N
Institution 7,646 King St,Hospital,Enteric,Norovirus,None,2023-10-19,9,2023-10-28,Y
Institution 58,137 Bay St,Long-Term Care Home,Enteric,RSV,None,2023-07-31,16,2023-08-16,N
Institution 61,673 Queen St,Hospital,Respiratory,Influenza,Rhinovirus,2023-11-11,19,2023-11-30,N
Institution 74,628 Main St,Hospital,Enteric,Influenza,Adenovirus,2024-08-29,27,2024-09-25,N
Institution 24,46 King St,Hospital,Enteric,Norovirus,None,2023-01-17,6,2023-01-23,N
Institution 63,64 King St,Hospital,Respiratory,Influenza,None,2024-03-27,19,2024-04-15,N
Institution 54,531 Main St,Long-Term Care Home,Respiratory,RSV,None,2023-03-28,9,2023-04-06,N
Institution 23,229 Main St,Hospital,Respiratory,COVID-19,None,2024-09-08,13,2024-09-21,Y
Institution 26,610 Queen St,Long-Term Care Home,Respiratory,COVID-19,Adenovirus,2024-10-15,19,2024-11-03,Y
Institution 33,129 Queen St,Hospital,Respiratory,COVID-19,Adenovirus,2023-05-19,11,2023-05-30,N
Institution 57,220 Queen St,Long-Term Care Home,Respiratory,COVID-19,None,2023-02-23,13,2023-03-08,N
Institution 29,692 Bay St,Retirement Home,Enteric,COVID-19,Rhinovirus,2023-05-13,28,2023-06-10,N
Institution 10,222 King St,Retirement Home,Enteric,Influenza,None,2023-05-06,13,2023-05-19,Y
Institution 53,836 Queen St,Hospital,Respiratory,RSV,Adenovirus,2023-10-26,15,2023-11-10,Y
Institution 54,507 Queen St,Long-Term Care Home,Enteric,COVID-19,None,2023-09-25,14,2023-10-09,N
Institution 77,602 King St,Hospital,Respiratory,Norovirus,None,2023-03-11,21,2023-04-01,Y
Institution 11,122 Queen St,Hospital,Respiratory,COVID-19,None,2023-06-12,14,2023-06-26,N
Institution 25,331 Main St,Retirement Home,Respiratory,Norovirus,None,2024-06-10,19,2024-06-29,N
Institution 52,901 Queen St,Long-Term Care Home,Respiratory,RSV,None,2024-08-05,11,2024-08-16,N
Institution 26,502 Queen St,Hospital,Respiratory,RSV,Rhinovirus,2024-01-13,21,2024-02-03,N
Institution 7,484 Queen St,Retirement Home,Respiratory,Influenza,None,2023-03-08,16,2023-03-24,Y
Institution 25,787 King St,Hospital,Respiratory,Norovirus,None,2024-06-04,9,2024-06-13,N
Institution 87,291 King St,Hospital,Enteric,RSV,None,2023-09-24,7,2023-10-01,N
Institution 90,929 Main St,Long-Term Care Home,Respiratory,COVID-19,None,2023-05-28,22,2023-06-19,N
Institution 32,743 Main St,Retirement Home,Enteric,Norovirus,Adenovirus,2023-05-31,18,2023-06-18,N
Institution 84,709 Queen St,Hospital,Respiratory,Influenza,None,2023-05-03,11,2023-05-14,N
Institution 24,829 King St,Long-Term Care Home,Respiratory,COVID-19,None,2023-06-24,17,2023-07-11,N
Institution 57,919 Bay St,Hospital,Respiratory,Norovirus,Adenovirus,2023-04-24,7,2023-05-01,N
Institution 73,169 Bay St,Retirement Home,Enteric,Influenza,None,2024-10-27,6,2024-11-02,N
Institution 23,729 Queen St,Hospital,Enteric,Norovirus,None,2023-09-01,29,2023-09-30,N
Institution 14,447 Queen St,Hospital,Respiratory,Norovirus,None,2024-03-03,15,2024-03-18,N
Institution 6,561 Bay St,Long-Term Care Home,Enteric,Influenza,None,2023-04-17,14,2023-05-01,N
Institution 91,341 Main St,Retirement Home,Respiratory,COVID-19,None,2024-03-31,29,2024-04-29,N
Institution 1,69 King St,Long-Term Care Home,Respiratory,RSV,None,2023-06-28,20,2023-07-18,N
Institution 90,320 Queen St,Long-Term Care Home,Respiratory,COVID-19,Rhinovirus,2023-12-02,29,2023-12-31,N
Institution 58,504 Main St,Long-Term Care Home,Respiratory,COVID-19,None,2023-03-20,28,2023-04-17,Y
Institution 81,76 Queen St,Retirement Home,Respiratory,Influenza,Rhinovirus,2024-04-23,24,2024-05-17,N
Institution 29,2 King St,Hospital,Enteric,RSV,None,2024-10-22,30,2024-11-21,Y
Institution 26,886 King St,Long-Term Care Home,Respiratory,COVID-19,Adenovirus,2023-04-05,7,2023-04-12,Y
Institution 27,786 Queen St,Retirement Home,Respiratory,Influenza,None,2024-05-12,8,2024-05-20,Y
Institution 85,772 Main St,Long-Term Care Home,Enteric,COVID-19,None,2023-11-04,11,2023-11-15,N
Institution 7,106 Main St,Retirement Home,Respiratory,Influenza,Adenovirus,2023-01-31,14,2023-02-14,N
Institution 60,111 Bay St,Long-Term Care Home,Respiratory,RSV,None,2024-06-26,24,2024-07-20,N
Institution 26,855 Queen St,Long-Term Care Home,Enteric,Norovirus,None,2024-03-09,21,2024-03-30,N
Institution 41,374 Bay St,Long-Term Care Home,Respiratory,Norovirus,None,2023-08-22,25,2023-09-16,N
Institution 84,72 Bay St,Long-Term Care Home,Enteric,Norovirus,None,2023-09-29,15,2023-10-14,N
Institution 6,449 Bay St,Hospital,Respiratory,RSV,None,2024-06-06,18,2024-06-24,N
Institution 94,888 Queen St,Long-Term Care Home,Respiratory,COVID-19,Rhinovirus,2024-10-10,7,2024-10-17,N
Institution 31,971 King St,Long-Term Care Home,Enteric,COVID-19,None,2023-01-01,24,2023-01-25,N
Institution 93,229 Bay St,Long-Term Care Home,Respiratory,Influenza,None,2024-02-13,18,2024-03-02,Y
Institution 17,523 Queen St,Hospital,Enteric,COVID-19,None,2023-06-27,21,2023-07-18,N
Institution 64,719 Queen St,Hospital,Respiratory,Influenza,None,2023-03-05,9,2023-03-14,Y
Institution 37,335 Queen St,Retirement Home,Respiratory,COVID-19,None,2024-07-26,7,2024-08-02,N
Institution 57,953 Main St,Long-Term Care Home,Respiratory,COVID-19,None,2023-06-11,18,2023-06-29,Y
Institution 20,56 Bay St,Hospital,Respiratory,COVID-19,None,2024-06-23,21,2024-07-14,Y
Institution 35,618 Main St,Retirement Home,Enteric,Influenza,None,2024-10-06,15,2024-10-21,N
Institution 89,271 Queen St,Hospital,Enteric,Influenza,Rhinovirus,2024-09-19,5,2024-09-24,N
Institution 33,207 Main St,Long-Term Care Home,Respiratory,RSV,None,2023-05-13,13,2023-05-26,N
Institution 66,436 Main St,Retirement Home,Respiratory,RSV,None,2024-02-17,7,2024-02-24,N
Institution 4,876 Queen St,Long-Term Care Home,Enteric,RSV,None,2023-05-11,24,2023-06-04,N
Institution 74,957 King St,Hospital,Enteric,Norovirus,None,2023-10-29,16,2023-11-14,Y
Institution 97,601 King St,Hospital,Enteric,RSV,None,2023-11-14,26,2023-12-10,N
Institution 5,292 Main St,Long-Term Care Home,Enteric,Norovirus,None,2023-09-27,16,2023-10-13,N
Institution 25,387 King St,Long-Term Care Home,Respiratory,RSV,None,2024-04-07,20,2024-04-27,N
Institution 8,263 Bay St,Retirement Home,Enteric,Norovirus,None,2024-03-26,13,2024-04-08,N
Institution 55,68 Queen St,Hospital,Enteric,COVID-19,None,2024-08-16,13,2024-08-29,N
Institution 89,120 Main St,Hospital,Respiratory,COVID-19,None,2023-05-03,19,2023-05-22,N
