Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Date_Outbreak_Began,Date_Declared_Over,Duration
Cedarbrook Lodge Retirement Residence,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-10-22,2024-11-08,N,2024-10-22,2024-11-08,17
Glen Rouge Community - Unit 4,92 Island Rd,LTCH,Respiratory,Rhinovirus,None,2024-10-21,2024-10-26,N,2024-10-21,2024-10-26,5
St George Care Community - 2nd Fl,225 St George St,LTCH,Respiratory,Rhinovirus,None,2024-10-21,2024-10-26,N,2024-10-21,2024-10-26,5
Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,COVID-19,None,2024-10-21,2024-11-04,N,2024-10-21,2024-11-04,14
UHN - Princess Margaret Hospital - 17B,610 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-21,2024-11-05,N,2024-10-21,2024-11-05,15
The Russell Hill Retirement Residence - 2nd & 4th Fl,262 St Clair Ave W,Retirement Home,Respiratory,Influenza A ((H1N1)pdm09),None,2024-10-20,2024-11-02,N,2024-10-20,2024-11-02,13
Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-19,2024-11-07,N,2024-10-19,2024-11-07,19
Mon Sheong Scarborough - 3rd Fl North,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-10-18,2024-11-12,N,2024-10-18,2024-11-12,25
North York General Hospital - Seniors' Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,None,2024-10-18,2024-10-25,N,2024-10-18,2024-10-25,7
Villa Colombo Homes for the Aged - 4 Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,None,2024-10-18,2024-10-28,N,2024-10-18,2024-10-28,10
Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,None,2024-10-17,2024-10-28,N,2024-10-17,2024-10-28,11
UHN - Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-17,2024-10-26,N,2024-10-17,2024-10-26,9
Castleview Wychwood Towers - 3rd Fl,351 Christie St,LTCH,Respiratory,Unable to identify,None,2024-10-16,2024-10-29,N,2024-10-16,2024-10-29,13
Hawthorne Place Care Centre - Maple Lane - Convalescent Unit,2045 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-10-16,2024-10-28,N,2024-10-16,2024-10-28,12
McCowan Retirement Residence - 4th Fl,2881 Eglinton Ave,Retirement Home,Respiratory,COVID-19,None,2024-10-16,2024-11-05,N,2024-10-16,2024-11-05,20
Toronto Rehabilitation Institute - Bickle Centre - South 4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-16,2024-11-07,N,2024-10-16,2024-11-07,22
UHN - Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-16,2024-10-25,N,2024-10-16,2024-10-25,9
Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-16,2024-10-29,N,2024-10-16,2024-10-29,13
Pine Villa Transitional Care - 3rd & 4th Fl Loft,1035 Eglinton Ave W,Hospital-Chronic Care,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-15,2024-10-22,N,2024-10-15,2024-10-22,7
Rayoak Place,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,None,2024-10-15,2024-10-28,N,2024-10-15,2024-10-28,13
Trillium Health Partners - McCall Centre For Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-10-15,2024-10-17,N,2024-10-15,2024-10-17,2
Villa Colombo Homes for the Aged - 4 Fusco South,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,None,2024-10-15,2024-10-25,N,2024-10-15,2024-10-25,10
Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Unable to identify,None,2024-10-14,2024-10-29,N,2024-10-14,2024-10-29,15
UHN - Toronto Western Hospital - 9A Medicine,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-14,2024-11-08,N,2024-10-14,2024-11-08,25
Downsview Long Term Care Centre - 1 North,3595 Keele St,LTCH,Respiratory,COVID-19,None,2024-10-13,2024-11-18,N,2024-10-13,2024-11-18,36
Aspira Kensington Place Retirement Living - 4th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,None,2024-10-11,2024-11-01,N,2024-10-11,2024-11-01,21
Seven Oaks - 2nd Fl,9 Neilson Road,LTCH,Respiratory,COVID-19,None,2024-10-11,2024-10-28,N,2024-10-11,2024-10-28,17
Westpark Long Term Care Centre - 2nd Fl - Hughes/Prittie,150 Emmett Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-10-11,2024-10-29,N,2024-10-11,2024-10-29,18
Isabel and Arthur Meighen Manor - 3 East,155 Millwood Rd,LTCH,Respiratory,COVID-19,None,2024-10-10,2024-10-17,N,2024-10-10,2024-10-17,7
"Lakeside Long Term Care - 1st, 2nd & 4th Fl",150 Dunn Ave,LTCH,Respiratory,COVID-19,None,2024-10-10,2024-10-28,N,2024-10-10,2024-10-28,18
The Kensington Gardens (North Building) - 1E & 2E,45 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-10,2024-10-24,N,2024-10-10,2024-10-24,14
UHT - Providence Healthcare - A5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-10,2024-10-30,N,2024-10-10,2024-10-30,20
Castleview Wynchwood Towers - 3rd Fl,351 Christie St,LTCH,Respiratory,COVID-19,None,2024-10-09,2024-11-05,N,2024-10-09,2024-11-05,27
"Queens Estate Retirement Residence - 2nd, 4th & 5th Fl",265 Queens Dr,Retirement Home,Respiratory,COVID-19,None,2024-10-09,2024-10-18,N,2024-10-09,2024-10-18,9
Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-09,2024-10-24,N,2024-10-09,2024-10-24,15
SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-09,2024-10-18,N,2024-10-09,2024-10-18,9
Unity Health Toronto - St. Michael's Hospital - 7CCV North,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-09,2024-10-16,N,2024-10-09,2024-10-16,7
Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd,LTCH,Respiratory,Rhinovirus,None,2024-10-08,2024-10-16,N,2024-10-08,2024-10-16,8
UHN - RCC - Trillium Health Partners - 3W IP Rehab,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-08,2024-10-16,N,2024-10-08,2024-10-16,8
Centre For Addiction And Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,None,2024-10-07,2024-10-16,N,2024-10-07,2024-10-16,9
Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus*,None,2024-10-07,2024-10-12,N,2024-10-07,2024-10-12,5
Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-10-07,2024-10-24,N,2024-10-07,2024-10-24,17
Villa Colombo Homes For The Aged - 3 Fusco North,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,None,2024-10-07,2024-10-12,N,2024-10-07,2024-10-12,5
RCC Church Site - Sunnybrook Health Sciences Centre - A3N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-06,2024-10-11,N,2024-10-06,2024-10-11,5
The Kensington Gardens (South Building) - 2W,25 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-06,2024-10-15,N,2024-10-06,2024-10-15,9
Valleyview Residence - 2W,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-10-06,2024-10-21,N,2024-10-06,2024-10-21,15
"Donway Place - 1st, 2nd & 4th Fl",8 The Donway E,Retirement Home,Respiratory,COVID-19,None,2024-10-04,2024-10-18,N,2024-10-04,2024-10-18,14
Leaside Retirement Residence - Building 10 - 3rd Fl,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,None,2024-10-04,2024-10-11,N,2024-10-04,2024-10-11,7
St. Clair O'Connor Community - 3rd Fl,2701 St. Clair Ave E,LTCH,Respiratory,Rhinovirus,None,2024-10-04,2024-10-15,N,2024-10-04,2024-10-15,11
The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Enterovirus,None,2024-10-04,2024-10-12,N,2024-10-04,2024-10-12,8
Trillium Health Partner - McCall Centre For Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-10-04,2024-10-10,N,2024-10-04,2024-10-10,6
Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-03,2024-10-19,N,2024-10-03,2024-10-19,16
Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-10-02,2024-10-10,N,2024-10-02,2024-10-10,8
Fieldstone Commons Care Community - 1st Fl,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,None,2024-10-02,2024-10-18,N,2024-10-02,2024-10-18,16
Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,None,2024-10-02,2024-10-15,N,2024-10-02,2024-10-15,13
The Annex - 1st & 3rd Fl,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,None,2024-10-02,2024-10-08,N,2024-10-02,2024-10-08,6
Forestview Retirement Residence - 2nd Fl,537 Finch Ave W,Retirement Home,Respiratory,COVID-19,None,2024-10-01,2024-10-16,N,2024-10-01,2024-10-16,15
Humber Meadows - 3 North,2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-10-01,2024-10-11,N,2024-10-01,2024-10-11,10
Main Street Terrace - 3rd Fl,77 Main St,LTCH,Respiratory,Enterovirus,None,2024-10-01,2024-10-15,N,2024-10-01,2024-10-15,14
Midland Gardens Care Community - 2nd Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,Enterovirus,2024-09-30,2024-10-15,N,2024-09-30,2024-10-15,15
The Teddington Retirement Residence - 2nd & 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Rhinovirus,None,2024-09-30,2024-10-09,N,2024-09-30,2024-10-09,9
Unity Health Toronto - Providence Healthcare Centre - B5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-30,2024-10-07,N,2024-09-30,2024-10-07,7
Bendale Acres - 2 BSU,2920 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-09-27,2024-10-09,N,2024-09-27,2024-10-09,12
Chartwell Scarlett Heights - 6th Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-09-27,2024-10-04,N,2024-09-27,2024-10-04,7
Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-09-27,2024-10-04,N,2024-09-27,2024-10-04,7
WOHS - Etobicoke General Hosptial - 6W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-27,2024-10-04,N,2024-09-27,2024-10-04,7
Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-09-25,2024-10-02,N,2024-09-25,2024-10-02,7
Maynard Nursing Home - 2nd Fl,28 Halton St,LTCH,Respiratory,COVID-19,None,2024-09-25,2024-10-08,N,2024-09-25,2024-10-08,13
Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,None,2024-09-25,2024-10-09,N,2024-09-25,2024-10-09,14
Extendicare Guildwood - West Spur 2 & East Spur 3,60 Guildwood Parkway,LTCH,Respiratory,Unable to identify,None,2024-09-24,2024-10-07,N,2024-09-24,2024-10-07,13
Nisbet Lodge - 11th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,None,2024-09-24,2024-10-01,N,2024-09-24,2024-10-01,7
Norfinch Care Community - 2A,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,None,2024-09-24,2024-10-07,N,2024-09-24,2024-10-07,13
Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,COVID-19,None,2024-09-23,2024-10-11,N,2024-09-23,2024-10-11,18
Harold & Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,None,2024-09-23,2024-10-16,N,2024-09-23,2024-10-16,23
Humber Meadows - 6 South,2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-09-23,2024-10-04,N,2024-09-23,2024-10-04,11
Midland Gardens Care Community - 3rd Fl,130 Midland Ave,LTCH,Respiratory,Enterovirus,None,2024-09-23,2024-10-03,N,2024-09-23,2024-10-03,10
TEHN - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-23,2024-09-27,N,2024-09-23,2024-09-27,4
The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,None,2024-09-23,2024-10-02,N,2024-09-23,2024-10-02,9
Kensington Gardens (North Building) - 3 West,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,None,2024-09-22,2024-09-30,N,2024-09-22,2024-09-30,8
Mon Sheong Scarborough - 3 South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-09-22,2024-10-05,N,2024-09-22,2024-10-05,13
Weston Terrace - 2A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-09-22,2024-09-27,N,2024-09-22,2024-09-27,5
Sinai Health System - Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-20,2024-09-27,N,2024-09-20,2024-09-27,7
Unity Health Toronto - St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-20,2024-09-30,N,2024-09-20,2024-09-30,10
Unity Health Toronto - St. Joseph's Health Centre - 4LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-20,2024-10-01,N,2024-09-20,2024-10-01,11
Villa Colombo Homes For The Aged - 2 Fusco West & 3 Fusco,40 Playfair Ave,LTCH,Respiratory,COVID-19,None,2024-09-20,2024-10-08,N,2024-09-20,2024-10-08,18
Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,None,2024-09-19,2024-10-09,N,2024-09-19,2024-10-09,20
SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-18,2024-09-25,N,2024-09-18,2024-09-25,7
Unity Health Toronto - Providence Healthcare - A3,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-18,2024-09-25,N,2024-09-18,2024-09-25,7
Shepherd Lodge - 4 South & 4 North,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,None,2024-09-17,2024-09-30,N,2024-09-17,2024-09-30,13
Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,COVID-19,None,2024-09-17,2024-10-02,N,2024-09-17,2024-10-02,15
UHN - Trillium Health Partners - RCC - 3W,82 Buttowood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-17,2024-09-26,N,2024-09-17,2024-09-26,9
McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-16,2024-10-10,N,2024-09-16,2024-10-10,24
Southlake Regional Health Centre - RCC Finch Site - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-16,2024-09-24,N,2024-09-16,2024-09-24,8
Village of Humber Heights - Williamsburg East Neighbourhood,2245 Lawrence Ave W,Retirement Home,Respiratory,COVID-19,None,2024-09-16,2024-09-23,N,2024-09-16,2024-09-23,7
Weston Terrace Care Community - 1A,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,None,2024-09-16,2024-09-25,N,2024-09-16,2024-09-25,9
William Osler Health System - Etobicoke General - 7E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-16,2024-09-27,N,2024-09-16,2024-09-27,11
Harmony Hills Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2024-09-15,2024-10-01,N,2024-09-15,2024-10-01,16
Holland Bloorview Kids Rehabilitation Hospital - 3W SODR Unit (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-15,2024-09-21,N,2024-09-15,2024-09-21,6
North York General Hospital - General Site - 3W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-14,2024-09-21,N,2024-09-14,2024-09-21,7
Better Living at Thompson House - 4th Fl,1 Overlea Dr,LTCH,Respiratory,COVID-19,None,2024-09-13,2024-10-01,N,2024-09-13,2024-10-01,18
Isabel and Arthur Meighen Manor - 2W Coombs & 2E Davis,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,None,2024-09-13,2024-10-03,N,2024-09-13,2024-10-03,20
"Shepherd Terrace Retirement Residence - 2nd, 3rd & 4th Fl",3758 Sheppard Ave E,Retirement Home,Respiratory,COVID-19,None,2024-09-13,2024-10-02,N,2024-09-13,2024-10-02,19
Sinai Health System - Hennick Bridgepoint Hospital - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-13,2024-09-26,N,2024-09-13,2024-09-26,13
Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-09-12,2024-09-20,N,2024-09-12,2024-09-20,8
Rekai Centre Sherbourne Place - 3rd & 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-09-12,2024-09-27,N,2024-09-12,2024-09-27,15
The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2024-09-12,2024-10-07,N,2024-09-12,2024-10-07,25
Valleyview Residence - 3E & 4W,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-09-12,2024-09-30,N,2024-09-12,2024-09-30,18
Castleview Wychwood Towers - 2 West,351 Christie St,LTCH,Respiratory,Parainfluenza,None,2024-09-11,2024-09-25,N,2024-09-11,2024-09-25,14
Cedarbrook Transitional Care Unit - 5th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-09-11,2024-09-17,N,2024-09-11,2024-09-17,6
Deerwood Creek Community - 2B,70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2024-09-11,2024-10-03,N,2024-09-11,2024-10-03,22
Harold & Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,None,2024-09-11,2024-10-02,N,2024-09-11,2024-10-02,21
Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-11,2024-10-08,N,2024-09-11,2024-10-08,27
Sunnybrook Health Sciences Centre - St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-10,2024-09-20,N,2024-09-10,2024-09-20,10
Sunnybrook Health Sciences Centre - Veterans Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-17,N,2024-09-10,2024-09-17,7
Tyndall - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-19,N,2024-09-10,2024-09-19,9
Wesburn Manor - 4N & 4S,400 The West Mall,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-23,N,2024-09-10,2024-09-23,13
Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-09,2024-09-22,N,2024-09-09,2024-09-22,13
Chartwell Grenadier Retirement Residence - C Wing & A Wing 2nd Fl,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,None,2024-09-09,2024-09-30,N,2024-09-09,2024-09-30,21
Reactivation Care Centre - Finch Site - Southlake Hospital - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-09,2024-09-16,N,2024-09-09,2024-09-16,7
"Shepherd Lodge - 2 North, 3 North & 3 South",3760 Sheppard Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-09-09,2024-09-26,N,2024-09-09,2024-09-26,17
The O'Neill Centre - Willowvale 3rd Fl & High Park 5th Fl,33 Christie St,LTCH,Respiratory,COVID-19,None,2024-09-09,2024-09-26,N,2024-09-09,2024-09-26,17
Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Rhinovirus,None,2024-09-08,2024-09-24,N,2024-09-08,2024-09-24,16
Hellenic Home - 2A,2241 Lawrence Ave E,LTCH,Respiratory,Unable to identify,None,2024-09-08,2024-09-19,N,2024-09-08,2024-09-19,11
Amica Bayview Gardens - 6th & 8th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,None,2024-09-06,2024-09-23,N,2024-09-06,2024-09-23,17
Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-06,2024-09-18,N,2024-09-06,2024-09-18,12
